,separate into parts,divide into groups or categories,mark the boundary,isolate constituent parts,put into containers,cause to move or be apart,distribute among others,distribute among themselves
English: divide,X,X,X,X,X,.,X,X
English: share,.,.,.,.,.,.,X,X
English: split,X,X,X,X,.,X,X,X
English: separate,.,X,X,X,X,X,.,.
English : separate,X,X,.,.,.,X,.,.
English : Disperse,.,.,.,.,X,X,X,.
English : share,.,.,.,.,X,X,X,X
English : allot,.,X,.,.,X,X,X,X
English : Sort,X,X,.,.,X,.,X,X
French : Répartir,X,X,.,.,X,X,X,X
English : classify,X,X,X,X,X,.,.,.
French : trier,X,X,.,.,X,X,.,.
English : partition,X,X,X,X,X,X,.,.
